Timestamp,MMSI,Latitude,Longitude,Speed,Course-sin,Course-cos,Length,Width,Vesseltype,Distance,Timestamp,MMSI,Latitude,Longitude,Speed,Course-sin,Course-cos,Length,Width,Vesseltype,Distance,Timestamp,MMSI,Latitude,Longitude,Speed,Course-sin,Course-cos,Length,Width,Vesseltype,Distance,Timestamp,MMSI,Latitude,Longitude,Speed,Course-sin,Course-cos,Length,Width,Vesseltype,Distance,Timestamp,MMSI,Latitude,Longitude,Speed,Course-sin,Course-cos,Length,Width,Vesseltype,Distance,WindDirection,WindSpeed,Visibility
1620499296.0,338169735.0,37.842518,-122.446887,7.42134,0.880309,-0.474401,0.0,9.0,0.0,0.962242,1620499296.0,366864850.0,37.830815,-122.463193,9.68565,-0.887788,0.460252,60.0,19.0,10.0,0.931399,1620499296.0,367145450.0,37.824753,-122.473802,11.503297,0.97671,0.214563,60.0,16.0,9.0,0.959874,1620499296.0,367567650.0,37.844879,-122.46329,4.055204,-0.624423,-0.781087,37.0,14.0,4.0,0.958565,1620499296.0,477999100.0,37.815918,-122.495312,13.050015,-0.900358,-0.43515,70.0,199.0,32.0,0.961053,228.1,6.62,10.0
1620499297.0,338169735.0,37.842502,-122.446849,7.424711,0.880795,-0.473498,0.0,9.0,0.0,0.958453,1620499297.0,366864850.0,37.830835,-122.463243,9.730538,-0.889211,0.457497,60.0,19.0,10.0,0.924495,1620499297.0,367145450.0,37.824765,-122.473736,11.524197,0.976367,0.21612,60.0,16.0,9.0,0.955817,1620499297.0,367567650.0,37.844865,-122.463305,4.058279,-0.624697,-0.780867,37.0,14.0,4.0,0.954402,1620499297.0,477999100.0,37.815892,-122.495381,13.059436,-0.900212,-0.435451,70.0,199.0,32.0,0.95714,228.1027777777778,6.620555555555556,10.0
1620499298.0,338169735.0,37.842485,-122.44681,7.427967,0.881251,-0.472648,0.0,9.0,0.0,0.954662,1620499298.0,366864850.0,37.830856,-122.463294,9.776664,-0.890663,0.454665,60.0,19.0,10.0,0.917581,1620499298.0,367145450.0,37.824776,-122.47367,11.544205,0.976027,0.217649,60.0,16.0,9.0,0.951752,1620499298.0,367567650.0,37.84485,-122.46332,4.061318,-0.624957,-0.780659,37.0,14.0,4.0,0.950236,1620499298.0,477999100.0,37.815865,-122.49545,13.068195,-0.900069,-0.435748,70.0,199.0,32.0,0.953224,228.10555555555555,6.621111111111111,10.0
1620499299.0,338169735.0,37.842469,-122.446772,7.431105,0.881677,-0.471854,0.0,9.0,0.0,0.950869,1620499299.0,366864850.0,37.830877,-122.463345,9.824037,-0.892141,0.451758,60.0,19.0,10.0,0.910657,1620499299.0,367145450.0,37.824788,-122.473604,11.563318,0.975691,0.21915,60.0,16.0,9.0,0.947681,1620499299.0,367567650.0,37.844835,-122.463335,4.064204,-0.625196,-0.780468,37.0,14.0,4.0,0.946067,1620499299.0,477999100.0,37.815839,-122.495519,13.076291,-0.899927,-0.43604,70.0,199.0,32.0,0.949305,228.1083333333333,6.621666666666666,10.0
1620499300.0,338169735.0,37.842453,-122.446734,7.434125,0.882073,-0.471113,0.0,9.0,0.0,0.947074,1620499300.0,366864850.0,37.830897,-122.463396,9.872666,-0.893643,0.448778,60.0,19.0,10.0,0.903724,1620499300.0,367145450.0,37.8248,-122.473538,11.581535,0.975359,0.220624,60.0,16.0,9.0,0.943604,1620499300.0,367567650.0,37.844821,-122.46335,4.066906,-0.625414,-0.780293,37.0,14.0,4.0,0.941895,1620499300.0,477999100.0,37.815813,-122.495588,13.083724,-0.899788,-0.436328,70.0,199.0,32.0,0.945384,228.11111111111111,6.622222222222222,10.0
1620499301.0,338169735.0,37.842437,-122.446695,7.437025,0.882439,-0.470427,0.0,9.0,0.0,0.943277,1620499301.0,366864850.0,37.830918,-122.463448,9.92256,-0.895169,0.445726,60.0,19.0,10.0,0.89678,1620499301.0,367145450.0,37.824811,-122.473472,11.598856,0.97503,0.222071,60.0,16.0,9.0,0.939521,1620499301.0,367567650.0,37.844806,-122.463365,4.069424,-0.625609,-0.780137,37.0,14.0,4.0,0.937719,1620499301.0,477999100.0,37.815786,-122.495657,13.090495,-0.89965,-0.436611,70.0,199.0,32.0,0.941462,228.11388888888888,6.622777777777777,10.0
1620499302.0,338169735.0,37.842421,-122.446657,7.439803,0.882775,-0.469796,0.0,9.0,0.0,0.939479,1620499302.0,366864850.0,37.830938,-122.4635,9.973728,-0.896717,0.442605,60.0,19.0,10.0,0.889825,1620499302.0,367145450.0,37.824823,-122.473406,11.615278,0.974706,0.223492,60.0,16.0,9.0,0.935432,1620499302.0,367567650.0,37.844791,-122.46338,4.071758,-0.625782,-0.779998,37.0,14.0,4.0,0.933541,1620499302.0,477999100.0,37.81576,-122.495726,13.096602,-0.899515,-0.43689,70.0,199.0,32.0,0.937537,228.11666666666667,6.623333333333333,10.0
1620499303.0,338169735.0,37.842404,-122.446618,7.44246,0.883082,-0.469218,0.0,9.0,0.0,0.935679,1620499303.0,366864850.0,37.830959,-122.463552,10.02618,-0.898284,0.439416,60.0,19.0,10.0,0.88286,1620499303.0,367145450.0,37.824835,-122.473339,11.630801,0.974385,0.224887,60.0,16.0,9.0,0.931338,1620499303.0,367567650.0,37.844777,-122.463395,4.073909,-0.625933,-0.779876,37.0,14.0,4.0,0.92936,1620499303.0,477999100.0,37.815733,-122.495795,13.102046,-0.899382,-0.437164,70.0,199.0,32.0,0.933611,228.11944444444444,6.623888888888889,10.0
1620499304.0,338169735.0,37.842388,-122.44658,7.444995,0.88336,-0.468695,0.0,9.0,0.0,0.931877,1620499304.0,366864850.0,37.830979,-122.463605,10.079923,-0.899868,0.436161,60.0,19.0,10.0,0.875885,1620499304.0,367145450.0,37.824847,-122.473273,11.645423,0.974068,0.226256,60.0,16.0,9.0,0.927239,1620499304.0,367567650.0,37.844762,-122.463409,4.075875,-0.626063,-0.779772,37.0,14.0,4.0,0.925177,1620499304.0,477999100.0,37.815707,-122.495864,13.106827,-0.899251,-0.437434,70.0,199.0,32.0,0.929683,228.12222222222223,6.624444444444444,10.0
1620499305.0,338169735.0,37.842372,-122.446541,7.447405,0.883609,-0.468226,0.0,9.0,0.0,0.928075,1620499305.0,366864850.0,37.830999,-122.463658,10.134969,-0.901469,0.432843,60.0,19.0,10.0,0.868899,1620499305.0,367145450.0,37.82486,-122.473206,11.659144,0.973755,0.2276,60.0,16.0,9.0,0.923135,1620499305.0,367567650.0,37.844747,-122.463424,4.077658,-0.626171,-0.779686,37.0,14.0,4.0,0.920992,1620499305.0,477999100.0,37.81568,-122.495933,13.110945,-0.899122,-0.437699,70.0,199.0,32.0,0.925754,228.125,6.625,10.0
