Timestamp,MMSI,Latitude,Longitude,Speed,Course-sin,Course-cos,Length,Width,Vesseltype,Distance,Timestamp,MMSI,Latitude,Longitude,Speed,Course-sin,Course-cos,Length,Width,Vesseltype,Distance,Timestamp,MMSI,Latitude,Longitude,Speed,Course-sin,Course-cos,Length,Width,Vesseltype,Distance,WindDirection,WindSpeed,Visibility
1612130862.0,367654260.0,37.818033,-122.447845,21.830963,-0.998585,0.053171,60.0,16.0,4.0,0.919151,1612130862.0,368060190.0,37.807205,-122.484646,18.888356,-0.528468,-0.848953,50.0,21.0,6.0,0.966357,1612130862.0,431851000.0,37.799597,-122.515331,16.308073,0.854137,0.520048,70.0,199.0,38.0,0.953481,292.45,7.245,10.0
1612130863.0,367654260.0,37.818039,-122.447972,21.618691,-0.998567,0.053518,60.0,16.0,4.0,0.913351,1612130863.0,368060190.0,37.807131,-122.484704,18.890719,-0.535961,-0.844243,50.0,21.0,6.0,0.963636,1612130863.0,431851000.0,37.799636,-122.515249,16.282796,0.853398,0.52126,70.0,199.0,38.0,0.949948,292.4527777777778,7.245277777777778,10.0
1612130864.0,367654260.0,37.818044,-122.448099,21.408836,-0.998548,0.053861,60.0,16.0,4.0,0.907606,1612130864.0,368060190.0,37.807057,-122.484763,18.893961,-0.543311,-0.839532,50.0,21.0,6.0,0.960897,1612130864.0,431851000.0,37.799676,-122.515168,16.257842,0.852663,0.522461,70.0,199.0,38.0,0.946422,292.4555555555556,7.245555555555556,10.0
1612130865.0,367654260.0,37.818049,-122.448224,21.201397,-0.99853,0.054198,60.0,16.0,4.0,0.901918,1612130865.0,368060190.0,37.806984,-122.484824,18.898021,-0.550518,-0.834824,50.0,21.0,6.0,0.958141,1612130865.0,431851000.0,37.799715,-122.515087,16.233211,0.851932,0.523652,70.0,199.0,38.0,0.942902,292.4583333333333,7.245833333333334,10.0
1612130866.0,367654260.0,37.818055,-122.448348,20.996375,-0.998512,0.05453,60.0,16.0,4.0,0.896285,1612130866.0,368060190.0,37.806911,-122.484884,18.902841,-0.557583,-0.830121,50.0,21.0,6.0,0.955367,1612130866.0,431851000.0,37.799754,-122.515006,16.2089,0.851206,0.524831,70.0,199.0,38.0,0.939389,292.4611111111111,7.246111111111111,10.0
1612130867.0,367654260.0,37.81806,-122.448471,20.793769,-0.998494,0.054857,60.0,16.0,4.0,0.890706,1612130867.0,368060190.0,37.806838,-122.484946,18.908365,-0.564507,-0.825428,50.0,21.0,6.0,0.952576,1612130867.0,431851000.0,37.799794,-122.514925,16.18491,0.850485,0.525999,70.0,199.0,38.0,0.935881,292.4638888888889,7.246388888888889,10.0
1612130868.0,367654260.0,37.818065,-122.448592,20.593579,-0.998477,0.055178,60.0,16.0,4.0,0.885182,1612130868.0,368060190.0,37.806766,-122.485009,18.914534,-0.571292,-0.820747,50.0,21.0,6.0,0.949769,1612130868.0,431851000.0,37.799833,-122.514844,16.161239,0.849769,0.527156,70.0,199.0,38.0,0.932379,292.46666666666664,7.246666666666667,10.0
1612130869.0,367654260.0,37.818071,-122.448713,20.395805,-0.998459,0.055492,60.0,16.0,4.0,0.879711,1612130869.0,368060190.0,37.806694,-122.485072,18.921294,-0.577938,-0.816081,50.0,21.0,6.0,0.946945,1612130869.0,431851000.0,37.799872,-122.514764,16.137887,0.849057,0.528301,70.0,199.0,38.0,0.928883,292.46944444444443,7.246944444444445,10.0
1612130870.0,367654260.0,37.818076,-122.448832,20.200447,-0.998442,0.055801,60.0,16.0,4.0,0.874292,1612130870.0,368060190.0,37.806623,-122.485136,18.928589,-0.584447,-0.811432,50.0,21.0,6.0,0.944104,1612130870.0,431851000.0,37.799912,-122.514684,16.114852,0.848351,0.529435,70.0,199.0,38.0,0.925393,292.47222222222223,7.247222222222222,10.0
1612130871.0,367654260.0,37.818081,-122.44895,20.007504,-0.998425,0.056102,60.0,16.0,4.0,0.868926,1612130871.0,368060190.0,37.806552,-122.485201,18.936365,-0.59082,-0.806803,50.0,21.0,6.0,0.941248,1612130871.0,431851000.0,37.799951,-122.514604,16.092134,0.847649,0.530557,70.0,199.0,38.0,0.921908,292.475,7.2475,10.0
