Timestamp,MMSI,Latitude,Longitude,Speed,Course-sin,Course-cos,Length,Width,Vesseltype,Distance,Timestamp,MMSI,Latitude,Longitude,Speed,Course-sin,Course-cos,Length,Width,Vesseltype,Distance,Timestamp,MMSI,Latitude,Longitude,Speed,Course-sin,Course-cos,Length,Width,Vesseltype,Distance,Timestamp,MMSI,Latitude,Longitude,Speed,Course-sin,Course-cos,Length,Width,Vesseltype,Distance,Timestamp,MMSI,Latitude,Longitude,Speed,Course-sin,Course-cos,Length,Width,Vesseltype,Distance,Timestamp,MMSI,Latitude,Longitude,Speed,Course-sin,Course-cos,Length,Width,Vesseltype,Distance,Timestamp,MMSI,Latitude,Longitude,Speed,Course-sin,Course-cos,Length,Width,Vesseltype,Distance,WindDirection,WindSpeed,Visibility
1628330696.0,338361152.0,37.810363,-122.4463,2.554625,-0.594325,-0.804225,36.0,9.0,2.0,0.990728,1628330696.0,338398275.0,37.852106,-122.471682,7.296941,0.505556,-0.862794,36.0,10.0,4.0,0.963848,1628330696.0,367080920.0,37.814072,-122.458327,4.361294,-0.964508,0.264054,37.0,10.0,3.0,0.965224,1628330696.0,367118570.0,37.829603,-122.475598,4.158948,-0.421837,-0.906671,30.0,8.0,0.0,0.91437,1628330696.0,367743230.0,37.848183,-122.47112,3.37026,0.447719,-0.894174,37.0,0.0,0.0,0.979172,1628330696.0,368104000.0,37.83812,-122.467076,5.153421,0.434525,-0.90066,36.0,0.0,0.0,0.964756,1628330696.0,368125580.0,37.835976,-122.46689,7.496699,-0.216405,-0.976304,37.0,34.0,6.0,0.966451,3.977777777777778,0.7955555555555556,10.0
1628330697.0,338361152.0,37.810354,-122.446309,2.558584,-0.569344,-0.822099,36.0,9.0,2.0,0.991919,1628330697.0,338398275.0,37.852077,-122.471661,7.286525,0.505585,-0.862777,36.0,10.0,4.0,0.960263,1628330697.0,367080920.0,37.814077,-122.458351,4.358166,-0.96461,0.263681,37.0,10.0,3.0,0.961757,1628330697.0,367118570.0,37.829586,-122.475608,4.189365,-0.422361,-0.906428,30.0,8.0,0.0,0.90558,1628330697.0,367743230.0,37.848169,-122.471111,3.397021,0.44787,-0.894099,37.0,0.0,0.0,0.976999,1628330697.0,368104000.0,37.838099,-122.467062,5.155256,0.43444,-0.900701,36.0,0.0,0.0,0.961228,1628330697.0,368125580.0,37.835942,-122.4669,7.496428,-0.218363,-0.975868,37.0,34.0,6.0,0.963085,3.983333333333333,0.7966666666666666,10.0
1628330698.0,338361152.0,37.810344,-122.446318,2.564332,-0.543709,-0.839274,36.0,9.0,2.0,0.993032,1628330698.0,338398275.0,37.852048,-122.471639,7.276273,0.505604,-0.862766,36.0,10.0,4.0,0.956684,1628330698.0,367080920.0,37.814082,-122.458376,4.354909,-0.964702,0.263345,37.0,10.0,3.0,0.958293,1628330698.0,367118570.0,37.829568,-122.475619,4.219341,-0.422806,-0.90622,30.0,8.0,0.0,0.896762,1628330698.0,367743230.0,37.848155,-122.471102,3.424149,0.447998,-0.894035,37.0,0.0,0.0,0.974809,1628330698.0,368104000.0,37.838077,-122.467049,5.157336,0.434338,-0.90075,36.0,0.0,0.0,0.957699,1628330698.0,368125580.0,37.835908,-122.466909,7.496083,-0.220327,-0.975426,37.0,34.0,6.0,0.959716,3.988888888888889,0.7977777777777778,10.0
1628330699.0,338361152.0,37.810334,-122.446326,2.571913,-0.517468,-0.855702,36.0,9.0,2.0,0.994066,1628330699.0,338398275.0,37.852019,-122.471617,7.266185,0.505614,-0.86276,36.0,10.0,4.0,0.953109,1628330699.0,367080920.0,37.814088,-122.458401,4.351522,-0.964783,0.263045,37.0,10.0,3.0,0.954831,1628330699.0,367118570.0,37.82955,-122.475629,4.248875,-0.423174,-0.906048,30.0,8.0,0.0,0.88792,1628330699.0,367743230.0,37.848141,-122.471093,3.451645,0.448105,-0.893981,37.0,0.0,0.0,0.9726,1628330699.0,368104000.0,37.838056,-122.467036,5.159662,0.434216,-0.900809,36.0,0.0,0.0,0.954169,1628330699.0,368125580.0,37.835874,-122.466919,7.495664,-0.222297,-0.974979,37.0,34.0,6.0,0.956346,3.994444444444445,0.7988888888888889,10.0
1628330700.0,338361152.0,37.810324,-122.446334,2.58137,-0.490674,-0.871343,36.0,9.0,2.0,0.99502,1628330700.0,338398275.0,37.85199,-122.471596,7.256261,0.505614,-0.86276,36.0,10.0,4.0,0.94954,1628330700.0,367080920.0,37.814093,-122.458425,4.348006,-0.964855,0.262783,37.0,10.0,3.0,0.951371,1628330700.0,367118570.0,37.829533,-122.47564,4.277967,-0.423467,-0.905912,30.0,8.0,0.0,0.879058,1628330700.0,367743230.0,37.848126,-122.471084,3.479508,0.44819,-0.893938,37.0,0.0,0.0,0.970375,1628330700.0,368104000.0,37.838034,-122.467023,5.162232,0.434077,-0.900876,36.0,0.0,0.0,0.950638,1628330700.0,368125580.0,37.835841,-122.466929,7.495172,-0.224273,-0.974526,37.0,34.0,6.0,0.952974,4.0,0.8,10.0
1628330701.0,338361152.0,37.810314,-122.446341,2.59274,-0.463385,-0.886157,36.0,9.0,2.0,0.995893,1628330701.0,338398275.0,37.851961,-122.471574,7.246502,0.505605,-0.862765,36.0,10.0,4.0,0.945976,1628330701.0,367080920.0,37.814098,-122.45845,4.344361,-0.964917,0.262557,37.0,10.0,3.0,0.947915,1628330701.0,367118570.0,37.829515,-122.47565,4.306617,-0.423686,-0.905809,30.0,8.0,0.0,0.870179,1628330701.0,367743230.0,37.848112,-122.471075,3.50774,0.448256,-0.893905,37.0,0.0,0.0,0.968131,1628330701.0,368104000.0,37.838013,-122.46701,5.165047,0.433919,-0.900952,36.0,0.0,0.0,0.947104,1628330701.0,368125580.0,37.835807,-122.466939,7.494607,-0.226255,-0.974068,37.0,34.0,6.0,0.949599,4.005555555555556,0.8011111111111111,10.0
1628330702.0,338361152.0,37.810303,-122.446348,2.606059,-0.435661,-0.900111,36.0,9.0,2.0,0.996685,1628330702.0,338398275.0,37.851932,-122.471553,7.236906,0.505586,-0.862776,36.0,10.0,4.0,0.942417,1628330702.0,367080920.0,37.814103,-122.458474,4.340585,-0.964968,0.262368,37.0,10.0,3.0,0.944461,1628330702.0,367118570.0,37.829497,-122.475661,4.334824,-0.423833,-0.90574,30.0,8.0,0.0,0.861288,1628330702.0,367743230.0,37.848098,-122.471066,3.536339,0.448301,-0.893883,37.0,0.0,0.0,0.965868,1628330702.0,368104000.0,37.837991,-122.466997,5.168108,0.433742,-0.901037,36.0,0.0,0.0,0.943569,1628330702.0,368125580.0,37.835773,-122.466949,7.493969,-0.228244,-0.973604,37.0,34.0,6.0,0.946223,4.011111111111111,0.8022222222222222,10.0
1628330703.0,338361152.0,37.810292,-122.446355,2.621356,-0.407567,-0.913175,36.0,9.0,2.0,0.997394,1628330703.0,338398275.0,37.851903,-122.471532,7.227474,0.505558,-0.862793,36.0,10.0,4.0,0.938863,1628330703.0,367080920.0,37.814109,-122.458499,4.33668,-0.965009,0.262216,37.0,10.0,3.0,0.94101,1628330703.0,367118570.0,37.829479,-122.475672,4.362589,-0.42391,-0.905704,30.0,8.0,0.0,0.852389,1628330703.0,367743230.0,37.848083,-122.471056,3.565305,0.448326,-0.89387,37.0,0.0,0.0,0.963588,1628330703.0,368104000.0,37.83797,-122.466984,5.171413,0.433548,-0.901131,36.0,0.0,0.0,0.940032,1628330703.0,368125580.0,37.835739,-122.466959,7.493259,-0.230238,-0.973134,37.0,34.0,6.0,0.942845,4.016666666666667,0.8033333333333333,10.0
1628330704.0,338361152.0,37.810281,-122.446361,2.638658,-0.379167,-0.925328,36.0,9.0,2.0,0.99802,1628330704.0,338398275.0,37.851874,-122.47151,7.218207,0.50552,-0.862815,36.0,10.0,4.0,0.935314,1628330704.0,367080920.0,37.814114,-122.458523,4.332646,-0.96504,0.262101,37.0,10.0,3.0,0.937562,1628330704.0,367118570.0,37.82946,-122.475683,4.389911,-0.423917,-0.905701,30.0,8.0,0.0,0.843486,1628330704.0,367743230.0,37.848068,-122.471047,3.59464,0.448333,-0.893867,37.0,0.0,0.0,0.961289,1628330704.0,368104000.0,37.837948,-122.466971,5.174964,0.433335,-0.901233,36.0,0.0,0.0,0.936493,1628330704.0,368125580.0,37.835706,-122.466969,7.492477,-0.232239,-0.972659,37.0,34.0,6.0,0.939465,4.022222222222222,0.8044444444444444,10.0
1628330705.0,338361152.0,37.81027,-122.446367,2.657987,-0.35053,-0.936551,36.0,9.0,2.0,0.998562,1628330705.0,338398275.0,37.851846,-122.471489,7.209103,0.505472,-0.862843,36.0,10.0,4.0,0.931769,1628330705.0,367080920.0,37.814119,-122.458548,4.328481,-0.965062,0.262023,37.0,10.0,3.0,0.934117,1628330705.0,367118570.0,37.829442,-122.475694,4.41679,-0.423857,-0.905729,30.0,8.0,0.0,0.834584,1628330705.0,367743230.0,37.848053,-122.471038,3.624342,0.448321,-0.893873,37.0,0.0,0.0,0.95897,1628330705.0,368104000.0,37.837927,-122.466957,5.17876,0.433104,-0.901344,36.0,0.0,0.0,0.932952,1628330705.0,368125580.0,37.835672,-122.466979,7.491623,-0.234247,-0.972177,37.0,34.0,6.0,0.936084,4.027777777777778,0.8055555555555556,10.0
