Timestamp,MMSI,Latitude,Longitude,Speed,Course-sin,Course-cos,Length,Width,Vesseltype,Distance,Timestamp,MMSI,Latitude,Longitude,Speed,Course-sin,Course-cos,Length,Width,Vesseltype,Distance,Timestamp,MMSI,Latitude,Longitude,Speed,Course-sin,Course-cos,Length,Width,Vesseltype,Distance,Timestamp,MMSI,Latitude,Longitude,Speed,Course-sin,Course-cos,Length,Width,Vesseltype,Distance,WindDirection,WindSpeed,Visibility
1625936312.0,338398275.0,37.827432,-122.453798,6.422305,-0.50114,0.865366,36.0,10.0,4.0,0.961024,1625936312.0,338406416.0,37.81797,-122.465693,6.773302,0.851203,-0.524837,37.0,13.0,4.0,0.948768,1625936312.0,366742520.0,37.834408,-122.468606,8.718677,0.238443,0.971156,60.0,14.0,5.0,0.965507,1625936312.0,565558000.0,37.818754,-122.439076,12.9999,-0.99568,0.092848,70.0,293.0,40.0,0.958769,307.2333333333333,6.461111111111111,10.0
1625936313.0,338398275.0,37.827458,-122.453817,6.425176,-0.500468,0.865755,36.0,10.0,4.0,0.957125,1625936313.0,338406416.0,37.817953,-122.465659,6.764538,0.852914,-0.522051,37.0,13.0,4.0,0.943659,1625936313.0,366742520.0,37.834447,-122.468594,8.72389,0.234481,0.972121,60.0,14.0,5.0,0.962021,1625936313.0,565558000.0,37.81876,-122.439152,13.005399,-0.995646,0.093211,70.0,293.0,40.0,0.954636,307.225,6.4625,10.0
1625936314.0,338398275.0,37.827484,-122.453836,6.428154,-0.499829,0.866124,36.0,10.0,4.0,0.953224,1625936314.0,338406416.0,37.817937,-122.465625,6.755725,0.85454,-0.519386,37.0,13.0,4.0,0.938553,1625936314.0,366742520.0,37.834486,-122.468582,8.728747,0.230556,0.973059,60.0,14.0,5.0,0.958529,1625936314.0,565558000.0,37.818766,-122.439228,13.010873,-0.995613,0.09357,70.0,293.0,40.0,0.950502,307.21666666666664,6.463888888888889,10.0
1625936315.0,338398275.0,37.827509,-122.453855,6.431237,-0.499222,0.866474,36.0,10.0,4.0,0.949322,1625936315.0,338406416.0,37.817921,-122.465591,6.746852,0.85608,-0.516843,37.0,13.0,4.0,0.933451,1625936315.0,366742520.0,37.834526,-122.46857,8.733241,0.226669,0.973972,60.0,14.0,5.0,0.955032,1625936315.0,565558000.0,37.818771,-122.439304,13.016321,-0.995579,0.093925,70.0,293.0,40.0,0.946366,307.2083333333333,6.465277777777778,10.0
1625936316.0,338398275.0,37.827535,-122.453874,6.434426,-0.498646,0.866806,36.0,10.0,4.0,0.945419,1625936316.0,338406416.0,37.817905,-122.465557,6.737911,0.857537,-0.514422,37.0,13.0,4.0,0.928353,1625936316.0,366742520.0,37.834565,-122.468559,8.73737,0.222819,0.97486,60.0,14.0,5.0,0.951529,1625936316.0,565558000.0,37.818777,-122.43938,13.021743,-0.995546,0.094275,70.0,293.0,40.0,0.942228,307.2,6.466666666666667,10.0
1625936317.0,338398275.0,37.827561,-122.453892,6.437719,-0.498103,0.867118,36.0,10.0,4.0,0.941516,1625936317.0,338406416.0,37.817889,-122.465523,6.728893,0.85891,-0.512126,37.0,13.0,4.0,0.923259,1625936317.0,366742520.0,37.834604,-122.468547,8.741129,0.219006,0.975724,60.0,14.0,5.0,0.94802,1625936317.0,565558000.0,37.818783,-122.439456,13.02714,-0.995513,0.094621,70.0,293.0,40.0,0.938089,307.19166666666666,6.468055555555556,10.0
1625936318.0,338398275.0,37.827587,-122.453911,6.441117,-0.497591,0.867412,36.0,10.0,4.0,0.937611,1625936318.0,338406416.0,37.817873,-122.46549,6.71979,0.860201,-0.509955,37.0,13.0,4.0,0.91817,1625936318.0,366742520.0,37.834644,-122.468536,8.744514,0.215228,0.976564,60.0,14.0,5.0,0.944507,1625936318.0,565558000.0,37.818788,-122.439532,13.032511,-0.995481,0.094962,70.0,293.0,40.0,0.933948,307.18333333333334,6.469444444444444,10.0
1625936319.0,338398275.0,37.827613,-122.45393,6.444619,-0.497112,0.867686,36.0,10.0,4.0,0.933704,1625936319.0,338406416.0,37.817857,-122.465456,6.710593,0.861411,-0.507909,37.0,13.0,4.0,0.913085,1625936319.0,366742520.0,37.834683,-122.468525,8.747521,0.211487,0.977381,60.0,14.0,5.0,0.940989,1625936319.0,565558000.0,37.818794,-122.439608,13.037857,-0.995449,0.095298,70.0,293.0,40.0,0.929805,307.175,6.470833333333333,10.0
1625936320.0,338398275.0,37.827638,-122.453949,6.448224,-0.496665,0.867942,36.0,10.0,4.0,0.929797,1625936320.0,338406416.0,37.817841,-122.465422,6.701296,0.862539,-0.505991,37.0,13.0,4.0,0.908005,1625936320.0,366742520.0,37.834723,-122.468514,8.750147,0.20778,0.978176,60.0,14.0,5.0,0.937467,1625936320.0,565558000.0,37.8188,-122.439684,13.043177,-0.995417,0.095631,70.0,293.0,40.0,0.92566,307.1666666666667,6.472222222222222,10.0
1625936321.0,338398275.0,37.827664,-122.453967,6.451933,-0.49625,0.86818,36.0,10.0,4.0,0.925887,1625936321.0,338406416.0,37.817825,-122.465388,6.691892,0.863586,-0.504201,37.0,13.0,4.0,0.902931,1625936321.0,366742520.0,37.834763,-122.468504,8.752387,0.204109,0.978948,60.0,14.0,5.0,0.93394,1625936321.0,565558000.0,37.818806,-122.43976,13.04847,-0.995385,0.095959,70.0,293.0,40.0,0.921514,307.15833333333336,6.473611111111111,10.0
1625936322.0,338398275.0,37.82769,-122.453986,6.455744,-0.495867,0.868399,36.0,10.0,4.0,0.921976,1625936322.0,338406416.0,37.81781,-122.465354,6.682373,0.864554,-0.50254,37.0,13.0,4.0,0.897861,1625936322.0,366742520.0,37.834802,-122.468493,8.754237,0.200472,0.9797,60.0,14.0,5.0,0.930409,1625936322.0,565558000.0,37.818811,-122.439836,13.053738,-0.995354,0.096282,70.0,293.0,40.0,0.917367,307.15,6.475,10.0
1625936323.0,338398275.0,37.827716,-122.454005,6.459657,-0.495515,0.868599,36.0,10.0,4.0,0.918064,1625936323.0,338406416.0,37.817794,-122.46532,6.672735,0.865442,-0.501008,37.0,13.0,4.0,0.892798,1625936323.0,366742520.0,37.834842,-122.468483,8.755695,0.196868,0.98043,60.0,14.0,5.0,0.926874,1625936323.0,565558000.0,37.818817,-122.439912,13.05898,-0.995323,0.096601,70.0,293.0,40.0,0.913217,307.14166666666665,6.476388888888889,10.0
1625936324.0,338398275.0,37.827742,-122.454024,6.463673,-0.495196,0.868781,36.0,10.0,4.0,0.914149,1625936324.0,338406416.0,37.817779,-122.465287,6.662972,0.866252,-0.499608,37.0,13.0,4.0,0.88774,1625936324.0,366742520.0,37.834882,-122.468473,8.756757,0.193299,0.98114,60.0,14.0,5.0,0.923335,1625936324.0,565558000.0,37.818823,-122.439988,13.064196,-0.995293,0.096916,70.0,293.0,40.0,0.909066,307.1333333333333,6.477777777777778,10.0
1625936325.0,338398275.0,37.827768,-122.454042,6.467791,-0.494909,0.868945,36.0,10.0,4.0,0.910233,1625936325.0,338406416.0,37.817763,-122.465253,6.653078,0.866982,-0.498339,37.0,13.0,4.0,0.882688,1625936325.0,366742520.0,37.834921,-122.468463,8.757419,0.189762,0.98183,60.0,14.0,5.0,0.919792,1625936325.0,565558000.0,37.818829,-122.440064,13.069385,-0.995262,0.097226,70.0,293.0,40.0,0.904914,307.125,6.479166666666667,10.0
1625936326.0,338398275.0,37.827794,-122.454061,6.47201,-0.494654,0.86909,36.0,10.0,4.0,0.906314,1625936326.0,338406416.0,37.817748,-122.465219,6.643049,0.867635,-0.497203,37.0,13.0,4.0,0.877643,1625936326.0,366742520.0,37.834961,-122.468453,8.757678,0.186259,0.982501,60.0,14.0,5.0,0.916247,1625936326.0,565558000.0,37.818835,-122.44014,13.074549,-0.995232,0.097532,70.0,293.0,40.0,0.900759,307.1166666666667,6.480555555555555,10.0
1625936327.0,338398275.0,37.82782,-122.45408,6.476331,-0.494431,0.869217,36.0,10.0,4.0,0.902393,1625936327.0,338406416.0,37.817733,-122.465185,6.632881,0.868209,-0.496199,37.0,13.0,4.0,0.872604,1625936327.0,366742520.0,37.835001,-122.468444,8.757531,0.182787,0.983152,60.0,14.0,5.0,0.912698,1625936327.0,565558000.0,37.818841,-122.440217,13.079686,-0.995203,0.097833,70.0,293.0,40.0,0.896604,307.1083333333333,6.481944444444444,10.0
1625936328.0,338398275.0,37.827846,-122.454099,6.480754,-0.494239,0.869326,36.0,10.0,4.0,0.898471,1625936328.0,338406416.0,37.817717,-122.465151,6.622571,0.868705,-0.49533,37.0,13.0,4.0,0.867572,1625936328.0,366742520.0,37.835041,-122.468434,8.756973,0.179348,0.983786,60.0,14.0,5.0,0.909146,1625936328.0,565558000.0,37.818847,-122.440293,13.084798,-0.995174,0.09813,70.0,293.0,40.0,0.892446,307.1,6.483333333333333,10.0
1625936329.0,338398275.0,37.827872,-122.454117,6.485277,-0.49408,0.869417,36.0,10.0,4.0,0.894545,1625936329.0,338406416.0,37.817702,-122.465118,6.612115,0.869123,-0.494596,37.0,13.0,4.0,0.862548,1625936329.0,366742520.0,37.835081,-122.468425,8.756003,0.17594,0.984401,60.0,14.0,5.0,0.905592,1625936329.0,565558000.0,37.818853,-122.440369,13.089882,-0.995145,0.098423,70.0,293.0,40.0,0.888287,307.09166666666664,6.484722222222223,10.0
1625936330.0,338398275.0,37.827898,-122.454136,6.489902,-0.493952,0.869489,36.0,10.0,4.0,0.890618,1625936330.0,338406416.0,37.817687,-122.465084,6.601511,0.869463,-0.493998,37.0,13.0,4.0,0.85753,1625936330.0,366742520.0,37.835121,-122.468416,8.754617,0.172563,0.984999,60.0,14.0,5.0,0.902035,1625936330.0,565558000.0,37.818858,-122.440445,13.094941,-0.995116,0.098712,70.0,293.0,40.0,0.884127,307.0833333333333,6.486111111111111,10.0
1625936331.0,338398275.0,37.827924,-122.454155,6.494627,-0.493856,0.869544,36.0,10.0,4.0,0.886687,1625936331.0,338406416.0,37.817672,-122.465051,6.590756,0.869725,-0.493536,37.0,13.0,4.0,0.85252,1625936331.0,366742520.0,37.83516,-122.468407,8.752812,0.169216,0.985579,60.0,14.0,5.0,0.898476,1625936331.0,565558000.0,37.818864,-122.440522,13.099973,-0.995088,0.098996,70.0,293.0,40.0,0.879964,307.075,6.4875,10.0
1625936332.0,338398275.0,37.827951,-122.454174,6.499453,-0.493792,0.86958,36.0,10.0,4.0,0.882755,1625936332.0,338406416.0,37.817657,-122.465017,6.579849,0.869909,-0.493212,37.0,13.0,4.0,0.847518,1625936332.0,366742520.0,37.8352,-122.468398,8.750584,0.1659,0.986143,60.0,14.0,5.0,0.894915,1625936332.0,565558000.0,37.81887,-122.440598,13.104979,-0.99506,0.099275,70.0,293.0,40.0,0.875801,307.06666666666666,6.488888888888889,10.0
1625936333.0,338398275.0,37.827977,-122.454193,6.50438,-0.493759,0.869599,36.0,10.0,4.0,0.878819,1625936333.0,338406416.0,37.817642,-122.464983,6.568789,0.870015,-0.493025,37.0,13.0,4.0,0.842524,1625936333.0,366742520.0,37.83524,-122.46839,8.747932,0.162614,0.98669,60.0,14.0,5.0,0.891352,1625936333.0,565558000.0,37.818876,-122.440674,13.109958,-0.995032,0.099551,70.0,293.0,40.0,0.871635,307.05833333333334,6.490277777777778,10.0
1625936334.0,338398275.0,37.828003,-122.454211,6.509408,-0.493758,0.869599,36.0,10.0,4.0,0.874881,1625936334.0,338406416.0,37.817627,-122.46495,6.557574,0.870042,-0.492978,37.0,13.0,4.0,0.837538,1625936334.0,366742520.0,37.83528,-122.468382,8.744852,0.159357,0.987221,60.0,14.0,5.0,0.887788,1625936334.0,565558000.0,37.818882,-122.440751,13.114911,-0.995005,0.099822,70.0,293.0,40.0,0.867469,307.05,6.491666666666667,10.0
1625936335.0,338398275.0,37.828029,-122.45423,6.514536,-0.493788,0.869582,36.0,10.0,4.0,0.870939,1625936335.0,338406416.0,37.817612,-122.464917,6.546206,0.86999,-0.49307,37.0,13.0,4.0,0.832561,1625936335.0,366742520.0,37.83532,-122.468373,8.741341,0.15613,0.987737,60.0,14.0,5.0,0.884222,1625936335.0,565558000.0,37.818889,-122.440827,13.119837,-0.994979,0.100088,70.0,293.0,40.0,0.8633,307.0416666666667,6.493055555555555,10.0
1625936336.0,338398275.0,37.828055,-122.454249,6.519766,-0.49385,0.869547,36.0,10.0,4.0,0.866995,1625936336.0,338406416.0,37.817597,-122.464883,6.534683,0.869858,-0.493302,37.0,13.0,4.0,0.827592,1625936336.0,366742520.0,37.83536,-122.468365,8.737396,0.152931,0.988237,60.0,14.0,5.0,0.880656,1625936336.0,565558000.0,37.818895,-122.440904,13.124736,-0.994952,0.100351,70.0,293.0,40.0,0.85913,307.03333333333336,6.4944444444444445,10.0
1625936337.0,338398275.0,37.828082,-122.454268,6.525096,-0.493943,0.869494,36.0,10.0,4.0,0.863047,1625936337.0,338406416.0,37.817582,-122.46485,6.523008,0.869647,-0.493675,37.0,13.0,4.0,0.822633,1625936337.0,366742520.0,37.8354,-122.468358,8.733016,0.14976,0.988722,60.0,14.0,5.0,0.877088,1625936337.0,565558000.0,37.818901,-122.44098,13.129609,-0.994926,0.100609,70.0,293.0,40.0,0.854959,307.025,6.495833333333334,10.0
1625936338.0,338398275.0,37.828108,-122.454287,6.530527,-0.494067,0.869424,36.0,10.0,4.0,0.859096,1625936338.0,338406416.0,37.817567,-122.464817,6.511181,0.869354,-0.494189,37.0,13.0,4.0,0.817682,1625936338.0,366742520.0,37.83544,-122.46835,8.728322,0.146608,0.989195,60.0,14.0,5.0,0.873519,1625936338.0,565558000.0,37.818907,-122.441057,13.134455,-0.9949,0.100863,70.0,293.0,40.0,0.850786,307.01666666666665,6.497222222222222,10.0
1625936339.0,338398275.0,37.828134,-122.454306,6.536059,-0.494222,0.869336,36.0,10.0,4.0,0.855142,1625936339.0,338406416.0,37.817552,-122.464784,6.499204,0.868981,-0.494846,37.0,13.0,4.0,0.812741,1625936339.0,366742520.0,37.83548,-122.468343,8.723817,0.143436,0.98966,60.0,14.0,5.0,0.86995,1625936339.0,565558000.0,37.818913,-122.441133,13.139274,-0.994875,0.101112,70.0,293.0,40.0,0.846612,307.0083333333333,6.498611111111111,10.0
